entity_id,sku,Status
57744,maf0325870000,1
57745,maf0325860000,1
57746,maf0325850000,1
57747,maf0325840000,1
57749,maf0325820000,1
57750,maf0325810000,1
57751,maf0325800000,1
57752,maf0325790000,1
57753,maf032578000B,1
57759,maf032574000B,1
57760,maf032574000A,1
57761,maf032573000B,1
57762,maf032573000A,1
57763,maf032572000B,1
57764,maf032572000A,1
57765,maf0325710000,1
57766,maf0325700000,1
57767,maf032569000B,1
57768,maf032569000A,1
57769,maf0325680000,1
57772,maf0325660000,1
57773,maf0325650000,1
57774,maf0325640000,1
57779,maf032560000A,1
57780,maf0325590000,1
57781,maf0325580000,1
57783,maf0325540000,1
57785,maf0325520000,1
57786,maf0325500000,1
57787,maf0324490000,1
57788,maf0324480000,1
57790,maf0324460000,1
57793,maf032443000B,1
57794,maf032443000A,1
57795,maf0324420000,1
57797,maf0324400000,1
57799,maf0324380000,1
57802,maf0324350000,1
57805,maf0324320000,1
57806,maf0324310000,1
57807,maf0324300000,1
57808,maf0324290000,1
57810,maf0324270000,1
57811,maf032426000B,1
57812,maf032426000A,1
57813,maf0324250000,1
57814,maf0324240000,1
57815,maf0324230000,1
57816,maf0324220000,1
57817,maf0324210000,1
57819,maf0324190000,1
57820,maf032418000B,1
57821,maf032418000A,1
57822,maf032417000B,1
57823,maf032417000A,1
57824,maf032416000B,1
57825,maf032416000A,1
57826,maf032415000B,1
57829,maf032414000A,1
57831,maf032413000A,1
57833,maf032411000B,1
57837,maf032409000B,1
57839,maf0324080000,1
57840,maf0324070000,1
57841,maf0324060000,1
57842,maf0324050000,1
57844,maf0324030000,1
57846,maf0324010000,1
57847,maf0324000000,1
57848,maf0323990000,1
57849,maf0323980000,1
57850,maf0323970000,1
57851,maf0323960000,1
57852,maf0323950000,1
57853,maf0323940000,1
57854,maf0323930000,1
57855,maf0323920000,1
57856,maf0323910000,1
57857,maf0323900000,1
57858,maf0323890000,1
57859,maf0323880000,1
57860,maf0323870000,1
57861,maf0323860000,1
57862,maf0323850000,1
57863,maf0323840000,1
57864,maf0323830000,1
57865,maf0323820000,1
57867,maf0323800000,1
57869,maf0323780000,1
57870,maf0323770000,1
57872,maf0323740000,1
57873,maf0323730000,1
57878,maf0323680000,1
57879,maf0323670000,1
57880,maf0323660000,1
57881,maf0323650000,1
57882,maf0323640000,1
57884,maf032362000B,1
57885,maf032362000A,1
57886,maf032361000B,1
57888,maf032360000B,1
57889,maf032360000A,1
57890,maf032359000B,1
57891,maf032359000A,1
57892,maf032358000B,1
57893,maf032358000A,1
57894,maf032357000V,1
57895,maf032357000R,1
57897,maf032355000B,1
57899,maf032354000B,1
57900,maf032353000B,1
57901,maf032353000A,1
57902,maf032352000B,1
57905,maf032351000A,1
57909,maf0323460000,1
57910,maf0323450000,1
57911,maf0323430000,1
57916,maf0323390000,1
57918,maf0323330000,1
57919,maf0323290000,1
57920,maf0323280000,1
57921,maf0323270000,1
57923,maf0323240000,1
57924,maf032319000B,1
57925,maf032319000A,1
57928,maf0323140000,1
57931,maf0323100000,1
57932,maf0323090000,1
57940,maf032295000A,1
57941,maf032288000B,1
57942,maf032288000A,1
57943,maf0322860000,1
57944,maf0322830000,1
57947,maf0322790000,1
57948,maf032278000B,1
57949,maf032278000A,1
57950,maf0322740000,1
57951,maf0322720000,1
57952,maf0322670000,1
57953,maf0322660000,1
57954,maf0322650000,1
57955,maf0322640000,1
57956,maf0322630000,1
57957,maf0322600000,1
57958,maf0322570000,1
57959,maf0322560000,1
57960,maf032255000B,1
57961,maf032255000A,1
57962,maf032254000B,1
57963,maf032254000A,1
57964,maf032250000B,1
57965,maf032250000A,1
57966,maf032248000B,1
57967,maf032236000B,1
57970,maf032231000C,1
57971,maf032231000A,1
57972,maf0322300000,1
57975,maf0322240000,1
57977,maf0322120000,1
57979,maf0322080000,1
57980,maf0322050000,1
57981,maf0322040000,1
57982,maf0322020003,1
57983,maf03219900RE,1
57984,maf032199000R,1
57985,maf0321980000,1
57986,maf0321970000,1
57987,maf0321940000,1
57988,maf0321930000,1
57989,maf0321910000,1
57990,maf0321900000,1
57991,maf0321890000,1
57992,maf0321860000,1
57993,maf0321840000,1
57994,maf0321810000,1
57996,maf0321700000,1
57997,maf0321670000,1
57998,maf0321660000,1
58004,maf0321460000,1
58005,maf032144000B,1
58006,maf032143000C,1
58007,maf032143000B,1
58011,maf032141000C,1
58012,maf032141000A,1
58014,maf0321320000,1
58015,maf0321310000,1
58016,maf0321300000,1
58021,maf0321250000,1
58022,maf0321240000,1
58023,maf0321230000,1
58025,maf032121000A,1
58027,maf032120000A,1
58028,maf032118000B,1
58030,maf032117000A,1
58031,maf0321140000,1
58033,maf0321100000,1
58035,maf0321050000,1
58036,maf032104000B,1
58037,maf032104000A,1
58039,maf0320990000,1
58040,maf0320980000,1
58041,maf0320960000,1
58042,maf0320900000,1
58043,maf0320880000,1
58045,maf0320820000,1
58046,maf0320810000,1
58047,maf0320800000,1
58049,maf0320780000,1
58050,maf032074000B,1
58051,maf032074000A,1
58052,maf0320710000,1
58057,maf0320630000,1
58058,maf0320620000,1
58060,maf0320590000,1
58061,maf0320580000,1
58062,maf0320570000,1
58065,maf032048000B,1
58066,maf032047000A,1
58069,maf0320450000,1
58070,maf032044000C,1
58071,maf032044000B,1
58072,maf032044000A,1
58073,maf0320420000,1
58074,maf032040000B,1
58075,maf032040000A,1
58076,maf0320360003,1
58078,maf032027000B,1
58079,maf032027000A,1
58080,maf0320220000,1
58081,maf0320080000,1
58083,maf031988000B,1
58084,maf031988000A,1
58085,maf031987000B,1
58086,maf031987000A,1
58087,maf031985000B,1
58088,maf031984000B,1
58090,maf0319640000,1
58091,maf0319630000,1
58092,maf0319620000,1
58093,maf0319610000,1
58094,maf0319600000,1
58095,maf0319510000,1
58096,maf0319490000,1
58097,maf0319440000,1
58099,maf0319270001,1
58102,maf0318950000,1
58105,maf0318860000,1
58107,maf031879000A,1
58110,maf0318460000,1
58112,maf0318430000,1
58113,maf031755000C,1
58114,maf031755000B,1
58115,maf031755000A,1
58120,maf0120240003,1
58121,maf0120240001,1
58122,maf0120230003,1
